StationID,Station
8014545,Weizen
8014546,Stühlingen
8014554,Engen
8014555,Welschingen-Neuhausen
8014556,Mühlhausen (b Engen)
8014558,Singen (Hohentwiel)$Singen (D)$<4>
8014562,Mannheim Handelshafen
8014563,Mannheim-Luzenberg
8014567,Mannheim-Neckarstadt
8014570,Böhringen-Rickelshausen
8014571,Radolfzell
8014580,Markelfingen
8014581,Allensbach
8014582,Hegne
8014583,Reichenau (Baden)
8014584,Konstanz-Petershausen
8014586,Konstanz
8014587,Konstanz Hafen
8014592,Dingelsdorf
8014601,Überlingen Therme
8014608,Unteruhldingen
8014611,Meersburg (Bodensee)
8014613,Hagnau (Bodensee)
8014614,Immenstaad (Bodensee)
8014649,Friedrichshafen Hafen
8014650,Langenargen Hafen
8014651,Kressbronn Hafen
8014652,Nonnenhorn Hafen
8014653,Wasserburg (Bodensee) Hafen
8014654,Bad Schachen
8014655,Lindau Hafen
8014659,Neustadt-Böbig
8017327,Nürnberg Hbf Bahnhofsvorplatz
8019023,Koblenz Hbf
8019029,Boppard Hbf
8019033,St. Goar
8019034,Oberwesel
8019039,Bingen(Rhein) Hbf
8019041,Bingen(Rhein) Stadt
8019051,Mainz Hbf
8019054,Mainz Römisches Theater
8019057,Mainz-Laubenheim
8019058,Bodenheim
8019059,Nackenheim
8019060,Nierstein
8019061,Oppenheim
8019062,Guntersblum
8019063,Alsheim
8019064,Mettenheim
8019065,Osthofen
8019068,Worms Hbf
8019072,Bobenheim
8019073,Frankenthal Hbf
8019077,Ludwigshafen-Oggersheim
8019080,Ludwigshafen(Rhein) BASF Süd
8019082,Ludwigshafen(Rhein) Hbf
8019086,Ludwigshafen-Mundenheim
8019087,Ludwigshafen-Rheingönheim
8019088,Limburgerhof
8019089,Schifferstadt
8019092,Speyer Hbf
8019094,Berghausen (Pfalz)
8019095,Heiligenstein(Pfalz)
8019096,Lingenfeld
8019097,Germersheim
8019098,Sondernheim
8019099,Bellheim
8019100,Rülzheim (D)
8019101,Rheinzabern
8019102,Jockgrim
8019103,Wörth (Rhein)
8019104,Hagenbach
8019181,Münster-Sarmsheim
8019182,Laubenheim(Nahe)
8019183,Langenlonsheim
8019184,Bretzenheim(Nahe)
8019186,Bad Kreuznach
8019187,Bad Münster am Stein
8019222,Welgesheim-Zotzenheim
8019223,Sprendlingen(Rheinh)
8019224,Gau Bickelheim
8019225,Wallertheim
8019230,Gensingen-Horrweiler
8019242,Lauterecken-Grumbach
8019254,Altenbamberg
8019255,Hochstätten(Pfalz)
8019256,Alsenz
8019261,Rockenhausen
8019262,Imsweiler
8019263,Winnweiler
8019275,Armsheim
8019276,Albig
8019277,Alzey
8019292,Harxheim-Zell
8019327,Nieder Flörsheim-Dalsheim
8019328,Gundersheim(Rheinh)
8019329,Eppelsheim(Rheinhess)
8019334,Pfeddersheim
8019335,Monsheim (D)
8019336,Wachenheim-Mölsheim
8019338,Albisheim(Pfrimm)
8019339,Marnheim
8019340,Göllheim-Dreisen
8019344,Enkenbach
8019348,Bockenheim-Kindenheim
8019349,Albsheim(Eis)
8019350,Grünstadt
8019351,Kirchheim(Weinstr)
8019352,Freinsheim
8019353,Erpolzheim
8019354,Bad Dürkheim
8019355,Wachenheim (Pfalz)
8019356,Deidesheim
8019358,Mussbach
8019359,Bad Dürkheim-Trift
8019362,Mertesheim
8019363,Ebertsheim
8019364,Eisenberg (Pfalz)
8019365,Ramsen (D)
8019383,Flomersheim
8019384,Lambsheim
8019385,Weisenheim(Sand)
8019401,Böhl-Iggelheim
8019402,Hassloch (Pfalz)
8019404,Neustadt (Weinstr) Hbf
8019405,Lambrecht (Pfalz)
8019406,Weidenthal
8019407,Frankenstein(Pfalz)
8019408,Hochspeyer
8019420,Maikammer-Kirrweiler
8019421,Edenkoben
8019422,Edesheim (Pfalz)
8019423,Knöringen-Essingen
8019426,Landau (Pfalz) Hbf
8019428,Landau (Pfalz) West
8019430,Insheim
8019431,Rohrbach (Pfalz)
8019432,Winden (Pfalz)
8019433,Schaidt (Pfalz)
8019467,Barbelroth
8019469,Bad Bergzabern
8019471,Kandel
8019660,Albersweiler(Pfalz)
8019661,Altenglan
8019665,Annweiler am Trifels
8019670,Bruchmühlbach-Miesau
8019672,Bundenthal-Rumbach
8019674,Busenberg-Schindhard
8019675,Contwig
8019677,Dellfeld
8019681,Dellfeld Ort
8019682,Eisenbach-Matzenbach
8019685,Galgenschanze
8019688,Glan-Münchweiler
8019689,Godramstein
8019690,Hauenstein(Pfalz)
8019691,Hauptstuhl
8019692,Heinzenhausen
8019695,Hirschhorn (Pfalz)
8019696,Kaiserslautern-Hohenecken
8019698,Kaiserslautern Hbf
8019699,Kaiserslautern Pfaffwerk
8019701,Kaiserslautern West
8019702,Hinterweidenthal
8019704,Katzweiler
8019706,Kennelgarten
8019707,Kindsbach
8019709,Vogelweh
8019710,Kreimbach-Kaulbach
8019711,Kusel
8019712,Lampertsmühle-Otterbach
8019714,Landstuhl
8019715,Lohnweiler
8019719,Münchweiler(Rodalben)
8019721,Obermohr
8019722,Niedermohr
8019723,Schifferstadt Süd
8019724,Olsbrücken
8019728,Pirmasens Nord
8019729,Ramstein (D)
8019730,Rammelsbach
8019731,Reckweilerhof
8019732,Rehweiler
8019735,Rieschweiler
8019737,Rinnthal
